Gene	length	GC	cds	cdsGC	fiveUTR	fiveUTRgc	threeUTR	threeUTRgc
Eif4h	2409	54.25	747	55.02	28	64.29	1632	53.74
Prkar2b	3358	44.04	1251	51.24	196	79.08	1909	35.73
Ndufs8	814	54.05	639	55.56	64	62.50	109	39.45
Ndufs8	1054	56.36	639	55.56	304	64.14	109	39.45
Ndufs8	1057	56.39	639	55.56	307	63.84	109	39.45
Vdac2	1662	44.95	888	46.62	131	67.18	641	38.07
Rhoa	2126	47.32	582	48.63	425	66.35	1117	39.39
St13	1622	48.15	1116	49.37	99	72.73	405	38.77
Gnai1	3193	43.28	1065	49.58	243	79.01	1883	35.05
Prkcb	8830	46.98	2022	52.13	219	79.91	6587	44.28
Pdap1	2203	53.65	546	49.45	109	70.64	1546	53.88
Erc1	8760	50.40	3363	48.53	567	59.08	4828	50.68
Erc1	2351	44.28	1107	46.16	291	71.82	951	33.65
Glo1	918	48.58	555	48.47	107	63.55	254	42.52
Glo1	1958	45.76	555	48.47	107	63.55	1294	43.12
Plrg1	1771	48.90	1542	48.51	107	59.81	120	44.17
Ntrk2	8744	48.56	2466	53.08	660	65.15	5616	44.60
Ntrk2	8711	48.42	2466	53.08	627	64.11	5616	44.60
Ntrk2	7049	48.47	1431	51.01	627	64.11	4989	45.76
Slc12a5	6042	58.13	3348	57.02	414	71.50	2278	57.33
Cacybp	2115	40.71	690	41.01	224	72.77	1199	34.45
Sod1	661	52.80	465	51.61	115	68.70	79	36.71
Ctsb	4756	49.10	1020	51.27	128	68.75	3606	47.78
Tom1l2	4940	55.14	1464	54.58	96	73.96	3378	54.83
Tom1l2	2623	54.02	1323	54.35	96	73.96	1202	52.00
Tom1l2	5000	55.18	1524	54.72	96	73.96	3378	54.83
Cck	854	56.91	405	61.23	98	57.14	349	51.58
Cck	707	56.72	348	64.37	98	57.14	259	46.33
Slc12a2	6520	44.22	3621	49.19	128	72.66	2769	36.37
Chchd6	1042	57.20	738	56.91	106	69.81	196	51.02
Chchd6	1126	57.64	822	57.54	106	69.81	196	51.02
Mbnl2	4579	40.12	1122	54.01	681	48.16	2774	32.52
Mbnl2	4525	39.96	1068	54.03	681	48.16	2774	32.52
Dynlrb1	946	54.44	315	48.57	301	68.44	328	46.95
Dynlrb1	702	49.15	291	47.42	81	62.96	328	46.95
Atxn2	4505	54.30	3861	57.08	26	84.62	616	35.39
Tagln2	1382	54.56	600	56.83	114	64.04	666	51.05
Gsn	2640	56.59	2196	57.42	207	64.25	235	42.13
Gsn	2556	56.61	2196	57.42	123	69.92	235	42.13
Gsn	2601	55.79	2196	57.42	168	53.57	235	42.13
Gsn	2663	57.08	2343	58.09	83	69.88	235	42.13
Dlg1	4675	45.63	2682	44.78	417	78.18	1574	38.50
Dlg1	4612	45.75	2619	44.98	417	78.18	1574	38.50
Dlg1	4370	43.20	2718	45.66	76	53.95	1574	38.50
Dlg1	4513	43.43	2505	46.35	432	44.44	1574	38.50
Dlg1	4777	46.01	2784	45.47	417	78.18	1574	38.50
Syncrip	6930	37.24	1686	43.42	353	70.54	4889	32.71
Syncrip	2782	45.08	1872	44.07	353	70.54	555	32.25
Syncrip	6933	37.26	1689	43.46	353	70.54	4889	32.71
Vps28	885	54.46	666	54.80	73	61.64	144	48.61
Rnps1	1812	50.66	918	54.14	169	52.66	723	45.78
Rnps1	1631	51.56	849	55.48	57	64.91	723	45.78
Rnps1	1934	51.55	918	54.14	291	57.73	723	45.78
Cct2	1962	47.15	1608	47.70	105	65.71	247	35.22
Endod1	4470	50.04	1506	55.44	271	73.06	2691	44.70
Tubb5	2645	51.95	1335	56.33	247	57.09	1061	45.15
Cap1	2749	50.67	1425	50.32	237	64.14	1085	48.20
Cct4	1966	45.73	1620	44.75	160	65.62	184	36.96
Vim	1834	53.00	1401	56.39	120	62.50	311	34.08
Nfs1	2053	51.92	1380	54.57	45	64.44	626	45.21
Mtpn	4042	39.91	357	47.90	277	67.87	3406	36.79
Cox4i1	687	55.02	510	53.33	56	80.36	119	50.42
Cox4i1	762	56.04	621	56.52	20	70.00	119	50.42
Fabp3	669	48.88	402	51.24	668	48.95	266	45.11
Rhoc	1092	55.68	582	55.15	75	70.67	433	53.58
Rhoc	1082	54.90	582	55.15	57	68.42	441	52.61
Snrpn	2032	44.73	723	55.60	570	47.02	737	32.16
Snrpn	2076	45.47	723	55.60	614	49.35	737	32.16
Snrpn	1970	45.23	723	55.60	508	49.21	737	32.16
Ppp3cb	3881	39.60	1578	43.16	132	75.76	2169	34.76
Eif5a	1455	54.71	465	50.11	338	64.20	650	53.08
Eif5a	1427	54.17	465	50.11	310	62.58	650	53.08
Eif5a	1391	54.13	465	50.11	274	63.50	650	53.08
Eif5a	1378	54.86	465	50.11	261	67.82	650	53.08
Eif5a	1304	51.15	465	50.11	187	47.06	650	53.08
Eif5a	1284	54.83	465	50.11	167	74.85	650	53.08
Eif5a	1226	53.59	465	50.11	109	71.56	650	53.08
Eif5a	1293	53.13	465	50.11	176	61.36	650	53.08
Eif5a	1361	54.67	465	50.11	244	67.62	650	53.08
Kif2a	3753	39.81	2118	43.15	38	73.68	1595	34.48
Kif2a	4250	40.42	2151	42.91	502	48.61	1595	34.48
Arid1a	8175	56.69	6852	59.63	8174	56.69	1322	41.38
Ywhae	2078	43.79	768	47.01	140	67.14	1168	38.87
