Gene	length	GC	cds	cdsGC	fiveUTR	fiveUTRgc	threeUTR	threeUTRgc
Tomm70a	3778	42.56	1836	46.68	147	72.11	1793	35.92
Ap2a1	3391	58.86	2868	57.88	143	80.42	378	57.94
Ap2a1	3457	59.01	2934	58.08	143	80.42	378	57.94
Hebp1	1086	49.91	573	54.10	117	67.52	394	38.32
Psmd4	1344	54.76	1140	54.56	80	60.00	122	52.46
Psmd4	1335	54.83	1131	54.64	80	60.00	122	52.46
Dnaja2	2839	41.67	1239	45.76	23	82.61	1575	37.84
Hmgb1	2327	39.84	648	46.45	151	60.93	1526	34.86
Atp1b2	2959	53.13	873	51.43	587	62.69	1497	50.30
Alyref	1132	52.56	768	60.29	26	76.92	336	33.04
Rpl22	2153	49.00	456	48.03	38	52.63	1657	49.19
Rpl22	2223	50.07	270	50.00	157	63.06	1794	48.94
Rpl22	2203	50.07	387	48.32	157	63.06	1657	49.19
Dlgap3	3900	65.31	2934	64.76	295	71.86	669	64.72
Grm5	8428	42.87	3516	51.54	717	49.51	4193	34.46
Grm5	8524	42.97	3612	51.55	717	49.51	4193	34.46
Dpp6	4531	51.36	2412	50.66	369	57.45	1748	50.97
Dpp6	4615	51.27	2406	50.46	459	56.64	1748	50.97
Dpp6	4866	52.75	2415	50.56	701	64.62	1748	50.97
Dpp6	4719	52.19	2580	52.44	389	55.78	1748	50.97
Cdc42	1521	41.55	576	44.10	163	60.12	780	35.90
Cdc42	2151	42.96	576	44.62	163	60.12	1410	40.35
